STCOUNTYFP,RISK_SCORE,EAL_SCORE,ERQK_RISKS,RFLD_RISKS,CFLD_RISKS,HRCN_RISKS,TRND_RISKS,WFIR_RISKS,WNTW_RISKS,HWAV_RISKS,DRGT_RISKS,HAIL_RISKS,SWND_RISKS,RFLD_EALS,ERQK_EALS,CFLD_EALS,HRCN_EALS,TRND_EALS,WFIR_EALS,WNTW_EALS,HWAV_EALS,DRGT_EALS,HAIL_EALS,SWND_EALS
1001,49.220489977728285,50.94398019189106,57.079223671651285,52.24307986000636,,67.65365634813818,73.8466433343939,29.621380846325167,12.217626471524024,87.08240534521158,50.65224307986001,57.11104040725422,43.970728603245306,51.65583410708759,56.60786134323738,,66.36402939904885,76.1786600496278,29.971364937957368,15.784586815227485,88.3936861652739,49.78287841191067,60.297766749379655,48.325062034739446
1003,97.70919503658925,98.23584029712163,69.16958320076361,87.94145720649061,55.93561368209256,98.87842081650963,91.37766465160675,92.65033407572383,52.08399618199173,91.0913140311804,86.79605472478524,52.94304804327076,53.77028316894686,91.05540080470442,69.29743113587125,58.97435897435898,99.00562040639862,92.21464019851116,93.12758510976771,56.20550913030021,92.04580625193438,87.5,56.296526054590565,58.095533498759295
1005,56.188355074769326,44.87774682760755,44.00254533884824,13.967546929685016,,77.16464782413638,73.94209354120265,27.266942411708563,19.535475660197264,69.71046770601336,80.68724148902324,39.99363665287942,35.50747693286669,12.720519962859797,39.39956669761684,,72.80587980977084,67.77295285359801,21.09449570474069,18.632002476013614,65.95481275147014,77.4503722084367,35.73200992555831,31.017369727047143
1007,32.48488705058861,30.485917672547195,61.69265033407573,25.167037861915368,,51.099147599820554,71.9694559338212,15.049315940184538,11.104040725421571,67.22876232898504,32.42125357938275,43.68437798281896,23.25803372573974,23.893531414422785,59.05292479108635,,49.070471249459565,71.89826302729529,14.8902322621699,13.308573197152583,67.87372330547818,33.49875930521092,44.75806451612903,25.496277915632756
1009,65.12885777919185,63.63354998452492,73.08304167992365,34.26662424435253,,54.01525347689547,89.72319440025454,19.630925867006045,21.44447979637289,82.43716194718422,52.14762965319758,43.71619471842189,76.1056315622017,33.7356855462705,71.24729186010524,,52.39948119325552,89.1439205955335,18.262806236080177,23.645930052615288,82.94645620550914,51.98511166253101,44.882133995037215,75.96153846153845
1011,32.45307031498568,27.112349117920147,36.430162265351576,19.153674832962135,,68.19201435621355,47.62965319758193,9.481387209672288,10.881323576201082,45.179764556156535,95.03658924594336,24.021635380209993,21.44447979637289,18.322500773754253,34.04518724852987,,64.72114137483787,44.416873449131515,7.858733693923003,12.10151655834107,43.76354069947384,93.73449131513648,23.511166253101734,21.339950372208435
1013,54.05663378937321,51.34633240482822,43.970728603245306,30.54406617881005,,80.26020637056976,58.860960865415215,14.603881641743556,13.299395482023543,58.733693923003514,58.54279350938594,20.13999363665288,35.95291123130767,29.155060352831946,42.742185082017954,,77.51837440553393,58.1575682382134,12.726694241170854,15.536985453419994,59.176725471990096,59.24317617866005,21.277915632754343,36.72456575682382
1015,84.37798281896278,82.7298050139276,82.65987909640471,66.94241170855871,,69.89681471511888,97.2001272669424,26.566974228444163,37.671014953865736,89.50047725103404,50.0477251034044,64.42888959592746,79.09640470887686,66.2643144537295,80.00619003404519,,67.92044963251189,96.92928039702234,25.83518930957684,39.306716186939035,89.04363974001856,52.23325062034739,64.76426799007444,78.41191066997519
1017,42.348075087496014,34.78799133395234,63.53802099904551,47.18421889914095,,70.03140421713773,65.065224307986,29.335030225898823,12.663060769965002,79.3827553293032,36.68469615017499,31.403118040089083,31.78491886732421,42.71123491179202,59.548127514701335,,66.2775616083009,61.9727047146402,26.821508113267576,13.834726090993502,77.49922624574435,36.60049627791563,30.117866004962774,30.614143920595527
1019,42.06172446706968,42.06128133704736,71.68310531339485,37.35284759783647,,53.207716464782415,76.26471524021633,4.67706013363029,12.726694241170854,64.74705695195672,63.56983773464842,33.69392300349984,32.675787464206174,38.74961312287218,69.69978334880841,,52.226545611759626,77.85359801488833,5.377028316894687,15.90838749613123,66.91426802847415,65.1985111662531,36.13523573200992,35.51488833746898
1021,58.54279350938594,54.19374806561436,68.46961501749921,31.307667833280306,,61.64199192462988,86.31880369074133,39.516385618835514,16.57651924912504,79.28730512249443,44.06617881005409,41.329939548202354,42.125357938275535,30.64066852367688,65.67626121943671,,58.92779939472546,84.77047146401985,36.93923003499841,18.322500773754253,78.52058186320025,44.63399503722084,40.84987593052109,41.47022332506204
1023,74.35571110404072,68.58557722067471,62.8380528157811,74.89659560929049,,85.95782862270077,74.8011454024817,42.28444161629017,20.39452752147629,56.53833916640153,31.816735602927135,84.60069996818326,50.334075723830736,70.5354379449087,58.279170535437935,,82.36057068741891,71.46401985111662,37.766465160674514,20.767564221603216,54.68895078922934,31.389578163771716,81.73076923076921,46.960297766749385
1025,72.0967228762329,65.18105849582173,46.70696786509704,44.766146993318486,17.50503018108652,86.58591296545536,66.87877823735285,48.87050588609609,22.65351574928412,76.2010817690105,36.080178173719375,32.45307031498568,37.798281896277445,41.59702878365831,43.14453729495512,20.0,82.92261132728059,62.624069478908176,43.46166083359847,22.06747137109254,74.15660786134323,34.52233250620348,30.800248138957816,34.770471464019856
1027,22.36716512885778,19.405756731662024,47.375119312758514,19.91727648743239,,59.4885598923284,61.69265033407573,46.134266624244354,12.026726057906458,53.229398663697104,27.839643652561247,25.29430480432708,23.385300668151448,20.489012689569797,44.41349427421851,,56.54993514915694,59.7394540942928,43.39802736239262,13.772825750541628,52.89384091612504,29.435483870967744,25.899503722084365,24.4727047146402
1029,22.55806554247534,20.736614051377284,45.052497613744826,16.290168628698694,,55.047106325706594,63.21985364301622,47.1205854279351,10.817690104995227,50.23862551702195,37.161947184218896,14.540248170537703,36.8119630925867,16.27978953884246,43.08263695450325,,53.43709468223087,62.810173697270464,46.10244988864143,12.999071494893222,50.44877746827608,38.05831265508685,16.06699751861042,37.034739454094286
1031,89.086859688196,88.08418446301454,59.242761692650326,76.99650015908368,,93.76401973979361,89.18230989500476,48.552338530066805,48.075087496022896,51.956729239580014,80.20999045497933,38.81641743557111,74.41934457524657,74.71371092541011,57.44351593933767,,92.77993947254647,88.36848635235731,46.26153356665606,48.68461776539771,52.522438873413805,80.7382133995037,40.043424317617855,73.75930521091811
